log_rate_clusters log_rate_planets_per_cluster power_law_P power_law_r1 power_law_r2 sigma_hk sigma_incl sigma_incl_near_mmr sigma_log_radius_in_cluster sigma_logperiod_per_pl_in_cluster rate mult period pratio tdur logxi depth dratio dabove dbelow dratio_above dratio_below dratio_across dist_tot_weighted
0.136516 0.126766 -0.397516 -0.551465 -5.416780 0.003859 1.064960 8.880410 0.239549 0.175007 0.000612 0.013277 0.032883 0.063903 0.054202 0.043983 0.037235 0.117208 0.134303 0.058258 0.108822 0.108445 0.201228 13.903060
0.084036 0.226532 -0.427473 -0.585938 -5.026900 0.008294 1.478460 7.590030 0.217890 0.145351 0.000025 0.017219 0.027245 0.067221 0.050823 0.062395 0.039118 0.138792 0.132225 0.043399 0.125943 0.156367 0.244181 13.909747
0.083579 0.252053 -0.506682 -0.839097 -4.383660 0.004033 1.271050 7.898220 0.222450 0.149300 0.000037 0.017062 0.041022 0.068127 0.033710 0.050892 0.050600 0.123755 0.126487 0.078585 0.120312 0.115238 0.226435 13.914040
0.026668 0.275737 -0.454300 -0.533740 -5.360750 0.010886 1.456090 8.453980 0.210199 0.136362 0.000082 0.017712 0.034012 0.074497 0.045008 0.050862 0.040119 0.128951 0.137679 0.051834 0.112723 0.129802 0.213984 13.916494
0.316731 0.118057 -0.331915 -0.992656 -4.580030 0.010359 1.331600 6.079570 0.247971 0.136847 0.000030 0.018995 0.030011 0.068370 0.051661 0.051196 0.046157 0.113037 0.127669 0.073537 0.104399 0.161660 0.175824 13.921566
-0.146383 0.498868 -0.500884 -0.469847 -5.446320 0.000015 1.362190 8.860790 0.237540 0.155469 0.000010 0.018807 0.036875 0.051879 0.045402 0.055413 0.045499 0.134968 0.139627 0.051753 0.129937 0.127183 0.224852 13.925399
0.167838 0.073880 -0.398695 -0.561848 -4.875830 0.015582 1.369330 6.405940 0.208044 0.149446 0.000022 0.019855 0.032889 0.064755 0.052637 0.052347 0.038422 0.126311 0.132669 0.058905 0.117827 0.151241 0.199791 13.930202
-0.231628 0.711395 -0.312208 -0.353078 -5.156680 0.018980 4.995760 0.290438 0.211297 0.173659 0.000115 0.017114 0.036725 0.055879 0.049781 0.053077 0.039485 0.140014 0.126369 0.038200 0.107326 0.144110 0.260013 13.936235
0.080719 0.095810 -0.486104 -0.377266 -5.750810 0.003214 1.078540 6.889050 0.239803 0.166049 0.000097 0.020757 0.036542 0.046061 0.046498 0.055752 0.036188 0.150652 0.130652 0.036047 0.131579 0.158915 0.206669 13.939002
0.083363 0.202105 -0.421506 -0.555642 -5.021470 0.005225 1.360650 7.669130 0.227357 0.154678 0.000085 0.020633 0.027747 0.052144 0.045508 0.055517 0.048888 0.131937 0.116557 0.050980 0.121079 0.166362 0.175773 13.943319
0.136681 0.065933 -0.435275 -0.505622 -5.806520 0.015795 2.945220 0.356726 0.224341 0.175815 0.000130 0.013840 0.043362 0.055849 0.044926 0.048288 0.048036 0.133640 0.144333 0.059879 0.121894 0.134992 0.209757 13.946613
0.044423 0.311860 -0.465042 -0.720867 -4.746920 0.008851 1.406150 6.607230 0.240330 0.150694 0.000095 0.021404 0.043555 0.052621 0.033011 0.059414 0.040556 0.130096 0.119882 0.055796 0.126487 0.118727 0.208841 13.950198
-0.018185 0.413511 -0.428504 -0.657735 -4.997030 0.027319 3.560650 0.115529 0.259546 0.164985 0.000112 0.015658 0.044857 0.076481 0.037279 0.054944 0.038052 0.124393 0.118395 0.066105 0.123601 0.144497 0.190851 13.954290
-0.003208 0.284518 -0.443337 -0.492217 -5.252010 0.016388 3.324720 0.255051 0.211363 0.179457 0.000095 0.022880 0.041776 0.047297 0.038258 0.050633 0.041754 0.133717 0.138009 0.041223 0.125467 0.149779 0.221410 13.959028
0.003179 0.268304 -0.456679 -0.451504 -5.503690 0.007885 1.451140 6.972100 0.249064 0.147314 0.000267 0.017998 0.026540 0.057985 0.045444 0.074013 0.040143 0.119113 0.130913 0.052276 0.109215 0.148294 0.177303 13.961420
-0.018909 0.434996 -0.405581 -0.590346 -5.070280 0.002739 1.202260 9.932450 0.214020 0.159566 0.000292 0.018592 0.028955 0.054233 0.050139 0.054028 0.042056 0.128391 0.124940 0.049698 0.110400 0.170215 0.225830 13.964027
-0.009712 0.617293 -0.218123 -0.788890 -4.815210 0.018456 4.515320 0.174677 0.250831 0.173288 0.000115 0.014052 0.034042 0.060840 0.055475 0.054068 0.047518 0.119288 0.118119 0.067790 0.103475 0.138652 0.217514 13.968075
-0.507241 1.288510 -0.228670 -0.187116 -5.988420 0.020384 6.602770 0.235597 0.257513 0.159229 0.000065 0.018281 0.028632 0.072451 0.050579 0.061874 0.033853 0.136433 0.132240 0.046228 0.123515 0.135000 0.249001 13.971952
0.141290 0.021288 -0.417763 -0.493515 -5.596470 0.014724 2.860030 0.372829 0.188152 0.174681 0.000302 0.020673 0.036336 0.056339 0.042744 0.049048 0.037070 0.132455 0.133701 0.043312 0.079659 0.139320 0.246141 13.974746
0.108507 0.122127 -0.457580 -0.542986 -5.309440 0.014512 2.632060 0.321203 0.196483 0.177433 0.000435 0.019615 0.044515 0.045251 0.037625 0.043260 0.039183 0.135827 0.130445 0.043895 0.085844 0.138643 0.215059 13.977543
0.146155 0.013542 -0.457580 -0.510900 -5.235380 0.014512 2.632060 0.689383 0.196483 0.177433 0.000170 0.021136 0.040575 0.066117 0.042113 0.055298 0.034592 0.113992 0.126716 0.050098 0.112080 0.120404 0.200694 13.981218
0.200889 -0.043449 -0.372322 -0.510080 -5.201060 0.024260 2.825530 0.156107 0.167221 0.156463 0.000237 0.019013 0.033140 0.055737 0.047510 0.054635 0.033843 0.149141 0.130189 0.051617 0.087218 0.103224 0.236517 13.984324
-0.033489 0.416526 -0.413337 -0.548200 -5.482600 0.000752 1.578710 8.958390 0.229521 0.158403 0.000380 0.020451 0.029525 0.046312 0.047511 0.060256 0.038074 0.129025 0.134131 0.048319 0.118020 0.144214 0.212034 13.988800
-0.018817 0.489345 -0.400638 -0.705667 -4.654490 0.024826 4.045020 0.199316 0.244656 0.156816 0.000222 0.019218 0.039107 0.058262 0.039971 0.052780 0.042388 0.123898 0.121305 0.083004 0.110177 0.162925 0.192488 13.993486
0.195986 -0.097160 -0.479862 -0.540647 -5.100390 0.012814 2.372960 0.167908 0.173635 0.183876 0.000182 0.022111 0.046597 0.060744 0.032896 0.044084 0.034690 0.140916 0.127079 0.039230 0.088019 0.160993 0.213922 13.997481
-0.321070 1.146070 -0.210726 -0.626389 -4.313660 0.024216 5.960030 0.353122 0.244041 0.152397 0.000132 0.016770 0.032931 0.059009 0.049984 0.051775 0.047396 0.126866 0.119037 0.071518 0.108820 0.159929 0.264627 13.999888
0.131627 0.417077 -0.211130 -0.893396 -4.719600 0.014118 3.932830 0.232094 0.231176 0.192695 0.000780 0.011363 0.031430 0.052116 0.057291 0.048368 0.041039 0.113900 0.126046 0.061642 0.109811 0.116239 0.210670 14.003710
0.100557 0.163490 -0.407591 -0.427054 -5.582280 0.007209 1.428830 6.574090 0.229227 0.145498 0.000132 0.022701 0.028367 0.060229 0.050009 0.060746 0.036605 0.120183 0.123524 0.048311 0.098536 0.159811 0.163914 14.007378
0.139970 -0.134516 -0.502044 -0.383458 -5.667700 0.015303 2.342360 0.622980 0.194602 0.161889 0.000480 0.017957 0.045573 0.058711 0.036835 0.053967 0.035267 0.113200 0.135251 0.039738 0.100906 0.136070 0.199498 14.010157
0.025283 0.289148 -0.447339 -0.505042 -5.547040 0.011015 1.626260 7.571340 0.241506 0.139638 0.000025 0.015680 0.033529 0.065713 0.036886 0.066086 0.048924 0.136669 0.139209 0.062595 0.122981 0.176617 0.191422 14.012717
-0.113228 0.506075 -0.467734 -0.545926 -5.268040 0.000837 1.850740 8.764900 0.224612 0.145369 0.000020 0.020818 0.033014 0.061003 0.039289 0.074312 0.038348 0.127938 0.125874 0.052784 0.121481 0.140596 0.228147 14.015107
-0.018936 0.256209 -0.472261 -0.266180 -5.914900 0.003389 1.448070 8.207930 0.215266 0.154333 0.000417 0.018818 0.032812 0.059517 0.046388 0.050080 0.042423 0.111439 0.128938 0.043025 0.099427 0.124242 0.201447 14.018481
-0.059388 0.416318 -0.463438 -0.544074 -5.232020 0.002629 1.372580 8.571240 0.238359 0.165945 0.000327 0.014820 0.039617 0.055137 0.042384 0.056442 0.039866 0.140557 0.122780 0.061525 0.134891 0.136832 0.225921 14.019932
0.199601 0.245886 -0.343804 -0.798263 -4.828000 0.005594 1.244360 9.794940 0.222610 0.156565 0.000212 0.023184 0.029785 0.058169 0.048766 0.051618 0.040027 0.116886 0.128366 0.047187 0.105930 0.150463 0.180185 14.024047
-0.026287 0.260559 -0.526266 -0.389524 -5.651040 0.008739 1.231230 8.547570 0.212899 0.139412 0.000015 0.021482 0.042593 0.075819 0.035570 0.047961 0.037953 0.127358 0.140672 0.044541 0.108711 0.157018 0.211007 14.027518
0.010234 0.368607 -0.476231 -0.744208 -5.052550 0.005686 1.653510 7.219110 0.230926 0.147959 0.000177 0.017798 0.050479 0.046716 0.034290 0.050022 0.048636 0.125521 0.129945 0.070877 0.104523 0.155072 0.236264 14.031622
-0.036708 0.489952 -0.415149 -0.715945 -5.010280 0.001844 1.326160 9.352340 0.279612 0.170194 0.000065 0.017592 0.036282 0.060934 0.041130 0.056038 0.041971 0.149853 0.125946 0.052733 0.140083 0.164399 0.201143 14.035262
0.131627 0.457209 -0.211130 -0.893396 -4.719600 0.014118 3.932830 0.232094 0.216525 0.192695 0.000255 0.015610 0.031658 0.058689 0.052162 0.053282 0.043574 0.131199 0.126084 0.063913 0.112410 0.160311 0.238365 14.039787
0.044590 0.187947 -0.464427 -0.452687 -5.287610 0.018397 1.575920 6.100580 0.213639 0.137416 0.000140 0.020337 0.038402 0.071528 0.038694 0.061949 0.033673 0.123053 0.133637 0.052167 0.108429 0.094961 0.211131 14.043362
-0.051561 0.500332 -0.405988 -0.571648 -5.674030 0.000259 1.425320 9.554620 0.294881 0.157011 0.000020 0.018666 0.026196 0.061254 0.051171 0.064202 0.041565 0.139835 0.125365 0.055082 0.131442 0.175257 0.168347 14.046277
-0.279704 0.842287 -0.259320 -0.431490 -5.931260 0.011400 5.100720 0.352306 0.320779 0.181205 0.000307 0.016664 0.034059 0.068500 0.042939 0.057053 0.037673 0.130971 0.123353 0.063081 0.134035 0.137294 0.163288 14.047855
